Id,LotArea,YearBuilt,YearRemodAdd,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,GarageAge,HouseAge,Total_area,Has_fireplace,Total_Bath,price,MSZoning,Alley,LotShape,LandContour,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,Electrical,KitchenQual,FireplaceQu,GarageType,GarageFinish,PavedDrive,PoolQC,Fence,SaleType,SaleCondition,MSSubClass,OverallQual,OverallCond,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars
1,8450,2003,2003,706,856,856,854,1710,548,0,61,5.0,5,10904.0,0,3,208500,RL,No value,Reg,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,No,GLQ,Ex,Y,SBrkr,Gd,No value,Attchd,RFn,Y,No value,No value,WD,Normal,60,7,5,1,2,1,3,8,0,2
2,9600,1976,1976,978,1262,1262,0,1262,460,298,0,31.0,31,11322.0,1,2,181500,RL,No value,Reg,Lvl,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,CBlock,Gd,TA,Gd,ALQ,Ex,Y,SBrkr,TA,TA,Attchd,RFn,Y,No value,No value,WD,Normal,20,6,8,0,2,0,3,6,1,2
3,11250,2001,2002,486,920,920,866,1786,608,0,42,7.0,7,13806.0,1,3,223500,RL,No value,IR1,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Mn,GLQ,Ex,Y,SBrkr,Gd,TA,Attchd,RFn,Y,No value,No value,WD,Normal,60,7,5,1,2,1,3,6,1,2
4,9550,1915,1970,216,756,961,756,1717,642,0,35,8.0,91,11909.0,1,1,140000,RL,No value,IR1,Lvl,1Fam,2Story,Gable,Wd Sdng,Wd Shng,None,TA,BrkTil,TA,Gd,No,ALQ,Gd,Y,SBrkr,Gd,Gd,Detchd,Unf,Y,No value,No value,WD,Abnorml,70,7,5,1,1,0,3,7,1,3
5,14260,2000,2000,655,1145,1145,1053,2198,836,192,84,8.0,8,17644.0,1,3,250000,RL,No value,IR1,Lvl,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,TA,Av,GLQ,Ex,Y,SBrkr,Gd,TA,Attchd,RFn,Y,No value,No value,WD,Normal,60,8,5,1,2,1,4,9,1,3
6,14115,1993,1995,732,796,796,566,1362,480,40,30,16.0,16,15957.0,0,2,143000,RL,No value,IR1,Lvl,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,TA,Wood,Gd,TA,No,GLQ,Ex,Y,SBrkr,TA,No value,Attchd,Unf,Y,No value,MnPrv,WD,Normal,50,5,5,1,1,1,1,5,0,2
7,10084,2004,2005,1369,1686,1694,0,1694,636,255,57,3.0,3,12600.0,1,2,307000,RL,No value,Reg,Lvl,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,PConc,Ex,TA,Av,GLQ,Ex,Y,SBrkr,Gd,Gd,Attchd,RFn,Y,No value,No value,WD,Normal,20,8,5,1,2,0,3,7,1,2
8,10382,1973,1973,859,1107,1107,983,2090,484,235,204,36.0,36,13196.0,1,3,200000,RL,No value,IR1,Lvl,1Fam,2Story,Gable,HdBoard,HdBoard,Stone,TA,CBlock,Gd,TA,Mn,ALQ,Ex,Y,SBrkr,TA,TA,Attchd,RFn,Y,No value,No value,WD,Normal,60,7,6,1,2,1,3,7,2,2
9,6120,1931,1950,0,952,1022,752,1774,468,90,0,77.0,77,8362.0,1,2,129900,RM,No value,Reg,Lvl,1Fam,1.5Fin,Gable,BrkFace,Wd Shng,None,TA,BrkTil,TA,TA,No,Unf,Gd,Y,FuseF,TA,TA,Detchd,Unf,Y,No value,No value,WD,Abnorml,50,7,5,0,2,0,2,8,2,2
10,7420,1939,1950,851,991,1077,0,1077,205,0,4,69.0,69,8702.0,1,1,118000,RL,No value,Reg,Lvl,2fmCon,1.5Unf,Gable,MetalSd,MetalSd,None,TA,BrkTil,TA,TA,No,GLQ,Ex,Y,SBrkr,TA,TA,Attchd,RFn,Y,No value,No value,WD,Normal,190,5,6,1,1,0,2,5,2,1
